,AT1G58684,AT3G09260,AT1G58983,AT1G09350,ATCG00470,AT3G22840,AT2G01021,ATCG00430,AT5G42800,ATCG01130,ATCG00270,AT4G14690,AT1G70850,AT4G12470,ATCG00330,AT3G22231,AT2G05440,AT3G50970,ATCG00350,AT4G22880,AT2G14560,AT1G25055,ATCG00790,ATCG00340,ATCG00280,ATCG00020,AT3G16450,ATCG00690,ATCG00720,ATCG00730,ATCG00800,AT3G01420,AT2G25510,AT3G22235,ATCG00680,AT4G14400,ATCG00490,ATCG00040,AT1G73330,ATCG00420,ATCG00440,ATCG00580,AT5G49440,ATCG01010,AT5G42530,AT4G37410,AT2G14610,ATCG01050,AT5G15960,AT2G01520,ATCG01100,AT3G16460,ATCG00560,AT2G39310,ATCG00480,AT1G61800,AT1G21310,ATCG00550,AT3G57260,ATCG00130,AT1G68050,ATCG00830,ATCG00900,ATCG00780,ATCG01060,AT1G32640,AT2G34430,AT3G28550,ATCG01080,ATCG00520,AT1G66100,ATCG00860,ATCG01090,ATCG00150,AT1G04570,AT1G01060,ATCG00120,AT5G54060,ATCG00810,AT4G14090,ATCG00710,AT3G54580,ATCG01070,ATCG00905,AT4G22485,ATMG01360,AT3G16420,ATMG01190,AT2G42840,ATCG00140,AT3G27690,ATCG00740,AT1G75040,AT5G07990,AT3G25820,AT5G62360,AT5G59310,ATCG00500,AT2G42530,ATCG01110
ERR3414715,1.76809619959132,3.08110287969766,7.98359796441668,14.3263449575845,15.9912976394236,11.4150972543072,13.591363329117,15.9565853151294,4.09047627947178,14.5914478113494,17.0443433256783,11.0573923854005,1.76809619959132,4.53417329363462,16.5184646277167,13.1770729427866,1.76809619959132,12.880600379784,17.3060402811059,3.90946474183873,12.5213989862632,1.76809619959132,14.5873208022665,17.3652820111068,17.2753621001043,17.7520830392006,1.76809619959132,15.8807006701152,16.8526573537322,16.680050668337,15.0269308698273,1.76809619959132,14.4324571456558,13.2293850247635,17.2673900129987,13.2559936475727,17.6743423079712,16.4522705376227,3.69949522903739,15.5080465199121,15.4276867405724,16.3730995396243,1.76809619959132,15.7634396436011,13.7425847304816,1.76809619959132,5.29061272502863,16.4478186311185,10.3477486251368,1.76809619959132,16.1344574662733,5.929292276059,15.2427348677506,1.76809619959132,16.8237792573951,8.57640186827139,3.08110287969766,15.2937391963108,10.2670511590594,16.5242916547579,13.323084346395,15.7990375579954,15.5531003412966,14.6541303607618,15.6503256556088,12.798996886888,15.2304218069316,1.76809619959132,15.6158495940525,15.6176082486472,12.3154697276475,15.9132037469917,15.1708291110307,16.1726571743445,14.0616282784109,11.8572218201518,16.8328738719901,3.69949522903739,14.2752930646247,4.53417329363462,15.4573516237966,1.76809619959132,15.3295177348839,14.754522209894,1.76809619959132,15.5860752660843,8.1273983350083,15.3709607771864,1.76809619959132,16.0125695118805,14.705996678469,14.9869452833213,11.5228826921716,5.85805455064171,3.08110287969766,13.368529614434,3.90946474183873,15.2546864458994,13.9856580590858,14.8869812289696
SRR6880757,13.6162438266527,4.40916068100581,1.76809619959132,13.8884529552802,13.3737367085828,13.2625506808186,3.53061072020394,11.0000533637151,7.25052081511066,12.426783148181,9.14051716511666,12.0226583816215,2.68808478222796,14.8043908550168,9.34080385876859,13.8403694835,5.70943794572757,13.631567894479,6.4480968192484,7.79966339586338,12.7028645665806,1.76809619959132,11.600303030885,6.09046207557463,7.98124125604497,9.74290302583194,3.06994202219307,1.76809619959132,4.6638548755424,3.79114305001103,10.982391048159,2.68808478222796,15.2973310422065,14.3658566268501,9.08222793870814,11.9274632810905,8.91220659171478,6.03366987999217,4.50877475963814,7.74379420911362,7.88094123305995,3.68276465047368,3.22310986272172,4.54081629700395,14.6317593731038,4.37468878024673,7.46038159931989,3.93768471036288,14.9275903623916,3.38993683263526,4.47617107565202,4.00529683744808,1.76809619959132,3.59410182111595,13.7990029303935,8.10475051885961,9.39716062672841,2.56121504843056,9.3296989995222,3.59410182111595,11.1214050040719,10.7872479295099,8.92141546584885,9.22278739871749,3.06994202219307,7.57183583098495,15.3079907863959,1.76809619959132,3.76496525690756,3.65399825019162,11.7861210243181,4.9550457647339,3.89066074944368,4.9420568048689,10.0634011067571,11.0384050266537,5.25726543932041,6.26085710521357,8.69011551640789,8.21177178239912,2.78803866239385,1.76809619959132,2.87198498210295,8.46920496442896,4.55663452352454,4.11130145547262,5.96711334299722,3.98312450172011,12.1142164247204,3.8167711215862,13.6678286584028,7.7518606358205,13.4607082817529,7.20522568676717,1.76809619959132,10.3056393648225,5.43172395386702,3.46285418022143,15.1783272010944,5.18833078786087
ERR1886226,1.76809619959132,4.81005775617271,13.5009343895409,9.77923163102314,4.07437705343228,15.0514467752601,3.93004381461787,3.14297027864162,13.6024131709768,3.52092548286793,3.84011655973949,12.7986321208815,2.5417110332936,10.7971272641081,3.35233239315294,10.3217107332636,7.13497167019286,11.3339795286056,4.67607779299261,13.6870751904629,8.12226745104716,10.2733620838544,3.88585610275135,5.03152597047374,4.45621787073976,5.62609245361822,2.5417110332936,1.76809619959132,3.60974013371886,3.35233239315294,3.66507702690672,3.03984115669561,12.6726726397143,10.8954162588757,4.32724398790928,10.9026892013487,5.7584803454443,3.42345094264467,3.31451393123319,2.84618949072425,2.9817511339157,2.5417110332936,9.6911589060497,2.36054255960878,10.1912245862846,4.74417218496279,3.31451393123319,3.45705162577893,14.1338887192661,2.91780613088796,2.7639943245008,4.05463182376359,2.5417110332936,3.97282293565385,5.80948434325507,9.16583492584225,10.6043571036095,2.5417110332936,7.15446317816286,3.42345094264467,4.83583502413786,4.36038733289304,3.74327870089568,3.79265714174904,2.5417110332936,2.91780613088796,8.92201332416935,2.91780613088796,2.7639943245008,2.84618949072425,5.40790677840796,3.99372345131903,2.7639943245008,4.27628718547183,9.20702250320957,11.8507180184765,4.05463182376359,12.0728764909982,3.18950129501423,12.8343246307256,2.9817511339157,2.9817511339157,2.6660725149844,3.18950129501423,8.62093679595718,2.9817511339157,6.39755412583372,1.76809619959132,11.8987373620388,3.23336643602861,8.23684630685113,3.66507702690672,7.77455275787187,13.3522644077595,1.76809619959132,4.57662403090552,9.2291188526194,3.03984115669561,14.7335457871699,2.5417110332936
SRR6880743,13.952247986685,4.64805649218784,1.76809619959132,12.405058706904,13.224860855761,13.9646759299238,2.93923725344273,10.7920707396534,8.92613946834911,12.4170886722833,10.018702224785,12.9941200566859,2.68331915734846,14.275451247068,8.60817152913363,14.7244547271366,5.14597689784487,13.1361590749665,8.13934400800837,9.38598311217598,13.1416220384131,1.76809619959132,12.2724271278343,7.15687464648992,9.7231631379097,10.9906070975711,2.68331915734846,1.76809619959132,5.5235307347994,4.58790090577329,11.4712395181554,2.55699339338422,15.1810546417928,14.7815828179619,9.22478759753911,11.9802218787057,10.9716311661967,8.49358952719318,3.64439389422492,8.2839894132691,8.13268053104533,4.46156399097404,3.26051695622288,5.57289235835904,14.3521638164993,6.20619394877316,9.47614016326403,4.36072591052575,14.5463800955589,3.58483351372144,5.50350005153842,3.70088973456311,1.76809619959132,3.45430698353184,14.2144264641943,10.622227715562,11.0939941796244,2.37303759360186,10.5324986506111,4.32578344806604,10.2577536442123,11.6154200719048,8.76129434682166,10.368439493759,3.41875364632784,8.09565567168142,15.0505843856461,2.78283195444368,3.80623180033737,4.0577612476779,10.395325109667,7.10522616754374,3.83119488160384,5.11056422766671,9.17184445913101,11.238125173621,6.43641268874768,7.51234285956893,9.68116651102899,9.16187687651305,3.488580751014,2.93923725344273,3.41875364632784,8.12599620177687,4.92451288032621,3.45430698353184,5.9099769898137,3.78075302325521,11.6475437223442,4.49396050554094,13.098951768307,7.98775360835427,13.6291797827879,8.57878356465539,1.76809619959132,9.83817942216774,4.69199187410825,4.39497916444257,15.210578109637,7.24220926455382
ERR1886220,1.76809619959132,7.19300236643385,13.0914213932566,13.0358282683244,3.86026991205696,14.6711852914577,3.79197781078862,3.66878783546794,13.1499612780153,3.83791655638056,5.23975446130741,13.7249272929813,3.21620322057541,5.98661345317441,2.83339310731218,9.21305029147817,7.90840933233506,14.1654107144697,6.00920618990111,12.8160822511324,7.01081311038902,10.0306897045392,3.86026991205696,5.02354479352313,5.87041620351647,7.16513552459887,3.9251006411438,1.76809619959132,3.9251006411438,3.12687181517455,3.98693289700703,3.98693289700703,13.3610313900786,8.17635273259338,5.38954580592857,6.79209690137606,7.88794894470671,3.96663079927788,5.78155482845519,3.46918499296972,3.40396038069827,1.76809619959132,9.67188938123295,4.04613788147915,11.9961301461092,6.62874573071872,4.46776521175347,3.69449522976966,14.4099315936336,3.40396038069827,3.3695349200459,4.02667491115139,2.35261993879763,4.54099760062092,6.06112743312056,12.9245934517979,10.8433128598319,1.76809619959132,8.48011291855001,3.58786581141358,10.2821654410572,4.82147278480564,3.71963548004578,3.88223968915074,2.35261993879763,3.07776903961644,10.7864039344804,2.53202394462805,2.65514416412332,3.1728582199263,8.18533077563267,4.43763489484388,2.75206205195975,3.9251006411438,12.7044462419693,12.1589597988146,4.71921710790718,10.9221182750954,3.50019991319709,11.6331876622351,3.12687181517455,2.35261993879763,2.53202394462805,3.25727635707869,7.40498077615773,2.65514416412332,6.43487788218411,3.02492354216556,11.9327084194654,3.74424256072168,10.3031094917494,3.58786581141358,8.13394656866402,12.2489581350824,2.35261993879763,6.06112743312056,10.1007839514411,3.33372582275954,14.9003045793195,3.29637133560564
ERR1886246,2.88613970793765,7.15440686814005,13.0969501978464,13.5311304375352,4.45097326149086,14.8448964636931,3.9701709989217,3.84781484715195,12.8917698506649,4.47956293396614,5.34467707304347,14.1603231002659,3.19333342618937,7.82541391700133,3.30894446591552,8.82911269703337,7.04902050497502,13.9014449481109,6.41003834229434,12.542923463285,6.55188694802423,10.1440086636163,3.95054074575558,5.29709355252626,6.55762306375274,7.69013791010013,3.55875751593899,1.76809619959132,3.84781484715195,3.61240556542219,3.95054074575558,4.37744674029181,13.3080853628123,8.05843794060409,5.8523646931649,7.22943983829649,8.03101570181635,4.50771404140502,5.12759505792379,3.34415890425476,3.58592329139305,2.94845140272545,9.70285046182629,4.68115800073507,11.9129313763746,5.55207278305652,4.13563335290582,3.61240556542219,14.0525561833897,2.88613970793765,3.71235005834153,3.82625289216839,2.51908455892258,4.08252845209753,6.82853681491227,12.6636466338292,10.9302831671202,1.76809619959132,8.57890863122912,4.04604331451829,10.1398646254595,5.03246150042039,4.06439931242305,3.63825021278973,3.15067761061445,1.76809619959132,11.6749876861481,3.61240556542219,3.30894446591552,3.41062618875181,8.65754612222872,5.06462535560361,3.19333342618937,4.02745188350356,12.6040777010045,12.4050168477543,4.95553245508094,10.5397931983944,3.50216352990888,11.3673693311353,3.00503058392535,3.00503058392535,2.88613970793765,3.44212807698609,9.23498259303063,2.51908455892258,6.37942662694144,1.76809619959132,12.1908842349608,3.66349838638104,11.1411965819307,3.78197456592132,9.04549020844924,12.1103950673574,1.76809619959132,6.88430882320643,8.55518346321088,3.41062618875181,15.2362193315822,3.58592329139305
SRR8570475,11.6985473865829,14.6549600004334,7.32591078126829,11.4615644683325,7.66079917456819,7.0298651072026,12.8094397040628,4.93792497605963,2.85652227246791,5.7145498366955,7.83977443661274,5.81359732154947,1.76809619959132,12.8657568939819,6.39638810999982,1.76809619959132,1.76809619959132,11.8903253106102,9.69244196805882,2.85652227246791,1.76809619959132,1.76809619959132,5.28549084814309,10.0138649455707,9.93011266847185,13.0810937359694,9.84408450988769,3.68337005156737,6.61592027131822,5.83507243247615,5.08933027784366,1.76809619959132,5.49117037461057,2.42175927577927,9.14601219582663,3.26849898079238,12.4942247011757,5.25847188553331,2.75071108591694,4.44386938440791,4.06212136255974,5.03001168690456,10.7740844621453,4.23024067429648,3.26849898079238,1.76809619959132,1.76809619959132,6.30982817322334,8.95783508478524,1.76809619959132,5.03001168690456,11.5860948819101,3.98383910976673,8.84354398461708,9.6421669297381,6.09835317783381,3.21426169494467,3.87204339841056,2.61664149605896,6.3793182675393,13.4737254523397,8.35119864256236,5.17546782611941,4.99974529554085,4.31891819503495,1.76809619959132,16.0748256607988,2.42175927577927,4.0364997948626,4.38250586154256,12.1154445617838,5.81359732154947,4.06212136255974,5.25847188553331,10.5839312005432,8.38752729639561,7.89488646486828,2.85652227246791,4.75804687209949,4.13642798516753,4.50321587358362,2.75071108591694,4.0364997948626,4.2971867041032,4.13642798516753,3.78138007883893,13.7176098669702,4.16041094645851,11.0447785422358,5.35170335226985,15.2112846363848,4.65287068901698,5.53994129292769,4.54174747264414,1.76809619959132,14.5749044289222,2.61664149605896,4.0364997948626,13.5814608527604,3.98383910976673
ERR1886230,2.87276971408594,4.94452321941284,13.8193546243533,10.0307025646625,4.25014580419981,14.8393573281195,4.93144421056703,3.59540434282397,13.3804299358963,3.96219425098105,4.66607606009501,12.3177206442084,2.37697300764978,10.7919026506842,3.86802474603184,10.2128538124541,8.01781357725375,11.8314689636265,5.14383284918408,13.1318060438458,8.00705325510037,10.0848085060356,3.79260341022304,5.67472774508557,5.37063024698398,7.19385775461866,3.12558372572053,2.37697300764978,4.11303198779133,3.46405525030512,3.53186379347004,2.37697300764978,12.4554342964147,10.9623289283904,5.49690989329401,9.1951946149738,7.39018391906123,4.52696133165346,3.17646097813566,3.17646097813566,3.07085834663366,2.56180788150219,9.9323406643398,2.78876992647405,9.9323406643398,5.6168935259889,3.07085834663366,3.89220330247924,14.3197520838949,3.01140920111361,3.39108282753816,4.02878412300931,1.76809619959132,4.4946132586696,6.24175740546134,12.4579703043945,11.2688992821984,2.87276971408594,7.66977658950225,3.59540434282397,10.8753228984896,4.63601414151972,3.86802474603184,3.56412134548347,2.78876992647405,1.76809619959132,12.376528955599,2.68875405093532,2.94599619665022,3.31170795305839,5.32700220342173,4.5587601190794,2.87276971408594,3.86802474603184,10.9213133196317,8.29906065516078,4.51085760876629,11.4427484959859,3.35229129317903,12.5876574821111,2.78876992647405,2.37697300764978,2.78876992647405,3.49854266848424,8.24185485816407,2.78876992647405,6.25682402360004,3.01140920111361,11.7230835004829,3.39108282753816,10.3248256956779,3.49854266848424,8.7477680914196,12.3768273535426,1.76809619959132,5.98721166292874,9.4749718142765,3.17646097813566,15.1089990650304,2.78876992647405
SRR7367129,1.76809619959132,15.7715427726322,13.1805313724889,4.66208121663985,15.4986014242574,5.68073487022833,10.5967527471478,14.4656770472077,3.71266604172859,15.5312204844326,15.2430359108549,5.89611892890034,14.6156235526492,6.85169401167844,11.8816908323813,4.115749535165,11.3806374343671,7.57651539641802,9.13056517484316,4.26941841640344,1.76809619959132,1.76809619959132,13.7568443550398,11.6000850428505,12.3010348755439,12.5172871574199,13.3093122255652,3.74860709352716,6.85943914002578,5.77881511537943,14.0393380538462,13.1224064007092,7.5534707372679,5.91891938635046,9.71334913713918,5.19740389937407,10.4163142717839,9.12784401092937,13.65837741638,11.4956109825372,13.693073056579,5.45814089816428,12.5293080417917,9.6065834105278,7.32891307074518,11.8571742240144,1.76809619959132,8.01802785587654,5.79080222760631,14.4662247650491,7.12990781864574,13.7317843852761,3.46813551242994,13.1788154564594,15.2387168194664,4.9377612119587,14.2007702649087,6.35447367948677,2.78420394055827,7.5066910203451,7.81069598660362,14.7376173149842,13.0792529622258,12.6882936422596,3.71266604172859,3.51311138128381,15.0344719953089,7.59933464687824,6.65802898775295,5.86151499076085,8.65190815737561,8.32876346194766,9.68114487360663,10.1503960104398,5.48541836613267,9.22861763428575,6.05143977604172,2.44590644993056,13.0729666431498,4.26941841640344,4.66208121663985,6.9505068518189,4.47629122287943,12.7629060714912,3.42095434458734,5.64291088069632,14.2937753740274,4.0885946549731,9.57461465932041,6.01897482810986,14.4169832063485,12.4217348527139,4.75813415607825,4.45446413824742,13.3172084574192,5.44438515585503,3.8504046824533,5.75466272282474,9.17889575341307,9.12784401092937
ERR1886183,1.76809619959132,8.74868943750409,11.8316509204441,2.61470972178525,4.47729152734612,4.33441489259865,5.36893003977697,3.77689978040106,9.73792232640216,3.15296964848106,3.64459672184578,3.08986338890695,2.8541313850912,3.80778095571851,3.08986338890695,9.25238843817166,6.41917488402471,3.95181722938706,3.86733291328156,9.04795009979618,9.39675861508951,8.96396744296165,4.05691486004081,3.92424846335386,4.0820288779255,5.7603853143585,4.29134447720564,1.76809619959132,3.21112282979601,2.74852647539688,3.49406858707098,6.93800017328826,13.8744261263385,10.5020355955806,4.33441489259865,11.5252594681766,5.40726661863997,3.40934324647763,6.23669971105071,2.8541313850912,2.61470972178525,3.08986338890695,10.541359211298,2.8541313850912,13.3888725887805,5.35601219450985,8.68171958562073,3.26523965264691,4.41745889109002,2.74852647539688,2.8541313850912,6.58902872117944,1.76809619959132,5.793028738915,7.38782622741945,5.23643726750686,10.4737365459394,2.42018263532036,11.0603366092084,3.74520858394958,3.36389627822769,5.7161695122341,3.67913383676502,3.8379085346808,2.42018263532036,3.02050595879385,12.356243326253,2.42018263532036,2.61470972178525,2.61470972178525,7.86852023766894,3.08986338890695,1.76809619959132,3.80778095571851,4.39706322565449,13.5025803117451,5.13896582298147,7.31943515017011,3.49406858707098,8.89850611699933,1.76809619959132,2.61470972178525,2.61470972178525,3.57205234286808,8.44200265943772,3.15296964848106,9.80098145962032,3.40934324647763,11.1068575667873,3.40934324647763,10.852396596362,3.45264909284592,9.57802762931119,7.3020264576741,2.42018263532036,4.1549410092024,7.18872936949644,2.42018263532036,5.27697981443747,2.61470972178525
